TIME_STAMP,Throughput,4G_RSRP,4G_RSRQ,4G_MCS,4G_RB,4G_BLER,4G_MAC_Total_Throughput,5G_RSRP,5G_RSRQ,5G_BLER,5G_MCS,5G_MAC_Total_Throughput,5G_RB,5G_TBS,4G_TBS
1691505396.650836,0.0,-85.25,-7.38,2.0,3.0,0.0,15.075999999999999,,,,,,,,121.0
1691505396.660836,0.0,-85.25,-7.38,2.0,3.0,0.0,15.075999999999999,,,,,,,,121.0
1691505396.670836,0.0,-86.4,-6.88,2.0,3.0,0.0,15.075999999999999,,,,,,,,121.0
1691505396.680836,0.0,-87.5,-8.69,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.690836,8.2332,-87.5,-8.69,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.700836,2.0342,-88.5,-7.06,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.710836,0.0,-89.0,-8.06,2.0,3.0,0.0,15.075999999999999,,,,,,,,121.0
1691505396.720836,0.0,-89.0,-8.06,2.0,3.0,0.0,15.075999999999999,,,,,,,,121.0
1691505396.730836,0.0,-88.88,-10.56,2.0,3.0,0.0,15.075999999999999,,,,,,,,121.0
1691505396.740836,0.0,-88.88,-10.56,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.750836,4.1046,-89.34,-6.97,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.760836,17.8932,-89.34,-6.97,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.7708359,0.0,-89.97,-7.88,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.7808359,0.0,-89.25,-8.75,2.0,3.0,0.0,15.075999999999999,,,,,,,,121.0
1691505396.7908359,2.0540000000000003,-88.94,-8.0,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.8008358,13.3,-88.94,-8.0,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.8108358,8.6944,-88.69,-11.0,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.8208358,19.8056,-88.69,-11.0,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.8308358,0.0,-88.69,-11.0,2.0,3.0,0.0,15.075999999999999,,,,,,,,930.0
1691505396.840836,0.0,-88.69,-11.0,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.850836,0.0,-88.69,-11.0,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.860836,4.6062,-88.69,-11.0,2.0,3.0,0.0,15.075999999999999,,,,,,,,7.0
1691505396.870836,42.8965,-88.69,-11.0,7.17,22.09,0.0,15.075999999999999,,,,,,,,7.0
1691505396.880836,0.0,-84.66,-6.47,7.17,22.09,0.0,15.075999999999999,,,,,,,,1429.5
1691505396.890836,0.0,-84.81,-7.13,12.0,73.58,0.0,15.075999999999999,,,,,,,,11.0
1691505396.900836,0.0,-85.25,-6.13,12.0,73.58,0.0,15.075999999999999,,,,,,,,11.0
1691505396.910836,3.0909,-85.25,-6.13,12.0,73.58,0.0,15.075999999999999,,,,,,,,11.0
1691505396.920836,20.014,-85.25,-6.13,12.0,73.58,0.0,15.075999999999999,,,,,,,,2882.666666666666
1691505396.930836,27.5406,-85.25,-6.13,12.0,73.58,0.0,15.075999999999999,,,,,,,,1486.0
1691505396.940836,0.0,-85.53,-7.34,12.0,73.58,0.0,15.075999999999999,,,,,,,,1868.0
1691505396.950836,2.0521,-86.19,-6.94,12.0,73.58,0.0,15.075999999999999,,,,,,,,1868.0
1691505396.960836,1.0256,-86.69,-7.75,14.36,78.19,5.71,15.075999999999999,,,,,,,,1868.0
1691505396.970836,6.6713,-86.69,-7.75,14.36,78.19,5.71,15.075999999999999,,,,,,,,807.0
1691505396.980836,32.2045,-87.0,-6.81,12.8,54.66,17.14,15.075999999999999,,,,,,,,918.0
1691505396.990836,10.722999999999999,-87.44,-7.94,12.8,54.66,17.14,15.075999999999999,,,,,,,,5367.0
1691505397.000836,2.0554,-87.16,-8.91,12.8,54.66,17.14,15.075999999999999,,,,,,,,5367.0
1691505397.010836,0.0,-86.63,-10.06,12.8,54.66,17.14,15.075999999999999,,,,,,,,11.0
1691505397.0208359,10.2002,-87.0,-8.0,12.8,54.66,17.14,15.075999999999999,,,,,,,,710.0
