TIME_STAMP,Throughput,4G_RSRP,4G_RSRQ,4G_MCS,4G_RB,4G_BLER,4G_MAC_Total_Throughput,5G_RSRP,5G_RSRQ,5G_BLER,5G_MCS,5G_MAC_Total_Throughput,5G_TBS,5G_RB,4G_TBS
1691525422.897105,0.0,-80.81,-14.84,21.27,3.09,0.0,11.482999999999999,,,,,,,,261.0
1691525422.907105,10.241,-79.66,-14.22,21.27,3.09,0.0,11.482999999999999,,,,,,,,249.0
1691525422.917105,0.0,-78.94,-17.69,21.27,3.09,0.0,11.482999999999999,,,,,,,,277.0
1691525422.9271052,0.0,-78.31,-17.75,21.27,3.09,0.0,11.482999999999999,,,,,,,,277.0
1691525422.9371052,0.0,-78.31,-17.75,21.27,3.09,0.0,11.482999999999999,,,,,,,,309.0
1691525422.9471052,0.0,-78.13,-14.0,21.27,3.09,0.0,11.482999999999999,,,,,,,,249.0
1691525422.9571052,0.0,-78.13,-14.0,21.27,3.09,0.0,11.482999999999999,,,,,,,,225.0
1691525422.9671052,0.0,-78.06,-14.44,21.27,3.09,6.67,11.482999999999999,,,,,,,,249.0
1691525422.9771051,18.5863,-78.06,-17.5,21.27,3.09,6.67,11.482999999999999,,,,,,,,217.0
1691525422.9871051,3.0677,-78.44,-14.44,21.27,3.09,6.67,11.482999999999999,,,,,,,,261.0
1691525422.9971051,0.0,-78.44,-14.44,21.27,3.09,6.67,11.482999999999999,,,,,,,,261.0
1691525423.0071046,0.0,-79.59,-15.84,20.19,3.0,6.67,11.482999999999999,,,,,,,,293.0
1691525423.0171046,0.0,-79.78,-16.22,20.19,3.0,6.67,11.482999999999999,,,,,,,,249.0
1691525423.027105,0.0,-79.78,-16.22,20.19,3.0,6.67,11.482999999999999,,,,,,,,261.0
1691525423.037105,0.0,-79.78,-16.22,20.19,3.0,6.67,11.482999999999999,,,,,,,,293.0
1691525423.047105,0.0,-78.28,-18.25,20.19,3.0,12.5,11.482999999999999,,,,,,,,277.0
1691525423.057105,1.0244,-77.0,-15.94,20.19,3.0,12.5,11.482999999999999,,,,,,,,261.0
1691525423.067105,33.8224,-76.44,-14.38,20.19,3.0,12.5,11.482999999999999,,,,,,,,261.0
1691525423.077105,8.6962,-76.25,-16.31,20.35,12.56,12.5,11.482999999999999,,,,,,,,233.0
1691525423.087105,0.0,-76.25,-16.31,20.35,12.56,12.5,11.482999999999999,,,,,,,,249.0
1691525423.097105,0.0,-76.25,-16.31,20.35,12.56,12.5,11.482999999999999,,,,,,,,225.0
1691525423.107105,0.0,-76.31,-16.38,20.35,12.56,12.5,11.482999999999999,,,,,,,,277.0
1691525423.117105,0.0,-77.28,-14.22,20.35,12.56,11.76,11.482999999999999,,,,,,,,277.0
1691525423.127105,2.0515,-78.38,-11.88,20.35,12.56,11.76,11.482999999999999,,,,,,,,233.0
1691525423.137105,14.3389,-78.38,-11.88,20.35,12.56,11.76,11.482999999999999,,,,,,,,233.0
1691525423.147105,12.8013,-79.66,-15.88,20.4,11.27,0.0,11.482999999999999,,,,,,,,1836.0
1691525423.157105,18.4209,-79.66,-15.88,20.4,11.27,0.0,11.482999999999999,,,,,,,,61.0
1691525423.167105,13.3014,-80.34,-16.47,20.4,11.27,0.0,11.482999999999999,,,,,,,,261.0
1691525423.1771052,22.5438,-80.69,-13.0,20.4,11.27,0.0,11.482999999999999,,,,,,,,217.0
1691525423.1871052,3.589,-81.13,-14.88,20.41,12.35,0.0,11.482999999999999,,,,,,,,261.0
1691525423.1971052,0.0,-81.13,-14.88,20.41,12.35,0.0,11.482999999999999,,,,,,,,261.0
1691525423.2071052,2.0505,-81.13,-14.88,20.41,12.35,0.0,11.482999999999999,,,,,,,,261.0
1691525423.2171052,22.5393,-80.63,-16.94,20.41,12.35,0.0,11.482999999999999,,,,,,,,293.0
1691525423.2271051,17.4045,-81.13,-15.66,20.41,12.35,0.0,11.482999999999999,,,,,,,,2769.0
1691525423.2371051,8.7101,-81.13,-16.19,22.71,20.5,15.0,11.482999999999999,,,,,,,,1095.0
1691525423.2471051,28.6634,-81.0,-17.94,22.71,20.5,15.0,11.482999999999999,,,,,,,,261.0
1691525423.2571046,14.847999999999999,-81.0,-15.19,22.71,20.5,15.0,11.482999999999999,,,,,,,,261.0
1691525423.2671046,2.5605,-81.06,-18.75,22.71,20.5,15.0,11.482999999999999,,,,,,,,249.0
1691525423.277105,20.3235,-79.63,-13.88,21.12,16.89,6.25,11.482999999999999,,,,,,,,285.0
1691525423.287105,20.641,-79.63,-13.88,21.12,16.89,6.25,11.482999999999999,,,,,,,,233.0
1691525423.297105,1.0212,-79.13,-14.31,21.12,16.89,6.25,11.482999999999999,,,,,,,,233.0
1691525423.307105,29.7764,-79.56,-14.13,21.14,21.57,0.0,11.482999999999999,,,,,,,,2292.0
1691525423.317105,24.5809,-80.19,-15.94,21.14,21.57,0.0,11.482999999999999,,,,,,,,1764.0
1691525423.327105,26.1146,-80.81,-15.0,20.72,22.35,20.0,11.482999999999999,,,,,,,,2481.0
1691525423.337105,5.6012,-82.0,-14.63,20.72,22.35,20.0,11.482999999999999,,,,,,,,2124.0
1691525423.347105,6.6841,-82.0,-14.63,21.33,28.85,10.0,11.482999999999999,,,,,,,,2481.0
1691525423.357105,11.7807,-83.38,-16.44,21.33,28.85,10.0,11.482999999999999,,,,,,,,249.0
1691525423.367105,16.3955,-83.09,-15.13,21.33,28.85,10.0,11.482999999999999,,,,,,,,233.0
1691525423.377105,18.4302,-83.09,-15.13,21.33,28.85,0.0,11.482999999999999,,,,,,,,2052.0
1691525423.387105,15.2124,-81.75,-17.63,21.93,24.13,0.0,11.482999999999999,,,,,,,,3182.0
1691525423.397105,16.0291,-80.19,-16.81,21.93,24.13,0.0,11.482999999999999,,,,,,,,1764.0
1691525423.407105,4.602,-79.5,-16.13,21.33,25.75,20.0,11.482999999999999,,,,,,,,3542.0
1691525423.417105,18.4228,-79.5,-12.19,21.37,31.25,5.0,11.482999999999999,,,,,,,,2769.0
1691525423.4271052,0.0,-79.5,-12.19,21.37,31.25,5.0,11.482999999999999,,,,,,,,1572.0
1691525423.4371052,11.8008,-79.13,-13.25,21.37,31.25,5.0,11.482999999999999,,,,,,,,1836.0
1691525423.4471052,18.4191,-78.5,-13.81,21.95,27.5,0.0,11.482999999999999,,,,,,,,2769.0
1691525423.4571052,14.306,-78.75,-13.13,21.95,27.5,0.0,11.482999999999999,,,,,,,,1479.0
1691525423.4671052,15.4016,-78.88,-11.0,21.95,27.5,20.0,11.482999999999999,,,,,,,,2769.0
1691525423.4771051,7.2803,-79.13,-14.5,22.44,28.71,20.0,11.482999999999999,,,,,,,,2769.0
1691525423.4871051,25.9624,-79.69,-12.81,21.25,35.8,5.0,11.482999999999999,,,,,,,,3662.0
1691525423.4971051,3.5851,-80.44,-10.38,21.25,35.8,5.0,11.482999999999999,,,,,,,,3662.0
1691525423.5071046,0.0,-80.44,-10.38,21.25,35.8,5.0,11.482999999999999,,,,,,,,3662.0
1691525423.5171046,0.0,-80.44,-10.38,21.25,35.8,5.0,11.482999999999999,,,,,,,,3662.0
1691525423.527105,29.9772,-80.63,-13.25,21.25,35.8,5.0,11.482999999999999,,,,,,,,2196.0
1691525423.537105,16.5211,-80.63,-13.25,21.25,35.8,5.0,11.482999999999999,,,,,,,,3662.0
1691525423.547105,14.3547,-79.94,-14.69,21.32,20.4,5.0,11.482999999999999,,,,,,,,1479.0
1691525423.557105,16.8943,-78.44,-14.5,21.32,20.4,5.0,11.482999999999999,,,,,,,,1836.0
1691525423.567105,26.0911,-76.75,-15.75,21.35,23.45,0.0,11.482999999999999,,,,,,,,3302.0
1691525423.577105,21.9677,-75.69,-14.28,22.0,22.9,0.0,11.482999999999999,,,,,,,,3963.0
1691525423.587105,4.0287,-77.13,-8.91,23.18,27.76,10.0,11.482999999999999,,,,,,,,1980.0
1691525423.597105,23.4647,-77.13,-8.91,23.18,27.76,10.0,11.482999999999999,,,,,,,,2481.0
1691525423.607105,7.6815,-79.38,-13.0,23.18,27.76,10.0,11.482999999999999,,,,,,,,1692.0
1691525423.617105,18.4597,-80.38,-10.63,20.33,23.06,38.89,11.482999999999999,,,,,,,,1980.0
