TIME_STAMP,Throughput,4G_RSRP,4G_RSRQ,4G_MCS,4G_RB,4G_BLER,4G_MAC_Total_Throughput,5G_RSRP,5G_RSRQ,5G_BLER,5G_MCS,5G_MAC_Total_Throughput,5G_RB,5G_TBS,4G_TBS
1691335848.2706478,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.5,0.336,16.0,329.0,11.0
1691335848.2806478,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.5,0.336,16.0,329.0,11.0
1691335848.2906475,6.6814,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.5,0.336,16.0,329.0,11.0
1691335848.3006475,3.5747,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.0,0.336,16.0,253.0,11.0
1691335848.3106475,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,1.0,0.336,16.0,405.0,11.0
1691335848.3206475,0.5138,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,1.0,0.336,16.0,405.0,11.0
1691335848.3306475,19.9563,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.0,0.336,16.0,253.0,11.0
1691335848.3406475,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.0,0.336,16.0,253.0,11.0
1691335848.3506474,2.5662,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.0,0.336,16.0,253.0,11.0
1691335848.3606474,38.8926,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.0,0.336,16.0,253.0,11.0
1691335848.3706474,2.4376,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,0.0,0.336,16.0,253.0,11.0
1691335848.3806474,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,8.2,0.336,19.2,3124.0,11.0
1691335848.3906474,13.9601,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,0.0,8.2,0.336,19.2,3124.0,11.0
1691335848.400648,34.8369,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,8.2,10.992,16.0,4737.0,11.0
1691335848.410648,32.2248,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,8.2,10.992,16.0,4737.0,11.0
1691335848.420648,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,12.5,10.992,36.0,7811.5,11.0
1691335848.430648,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,12.5,10.992,36.0,7811.5,11.0
1691335848.4406476,28.9772,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,6.0,10.992,16.0,1727.0,11.0
1691335848.4506476,58.9744,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,16.25,10.992,48.5,14045.0,11.0
1691335848.4606476,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,16.25,10.992,72.0,19123.0,11.0
1691335848.4706476,6.8477,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,16.25,10.992,72.0,19123.0,11.0
1691335848.4806476,85.0005,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,8.5,10.992,40.0,9602.0,11.0
1691335848.4906476,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,23.81,17.75,10.992,76.0,24649.25,11.0
1691335848.5006475,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,11.76,17.75,27.791,120.0,38413.0,11.0
1691335848.5106478,105.4629,-74.13,-16.88,1.0,8.0,0.0,0.0,-74.31,-10.46,11.76,17.75,27.791,120.0,38413.0,11.0
1691335848.5206478,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,11.76,8.5,27.791,24.0,4863.5,11.0
1691335848.5306478,5.2529,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,11.76,13.5,27.791,105.6,32228.0,11.0
1691335848.5406475,42.4833,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,11.76,13.5,27.791,105.6,32228.0,11.0
1691335848.5506475,52.736000000000004,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,11.76,13.5,27.791,105.6,32228.0,11.0
1691335848.5606475,8.6927,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,11.76,0.0,27.791,16.0,253.0,11.0
1691335848.5706475,38.9939,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,11.76,12.0,27.791,103.0,18042.29,11.0
1691335848.5806475,1.4825,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,11.76,12.0,27.791,176.0,48159.0,11.0
1691335848.5906475,10.0829,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,11.76,12.0,27.791,176.0,48159.0,11.0
1691335848.6006474,57.0523,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,10.67,26.976999999999997,120.33,21344.33,11.0
1691335848.6106474,5.9597,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,0.0,26.976999999999997,16.0,253.0,11.0
1691335848.6206474,27.8289,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,0.0,26.976999999999997,16.0,253.0,11.0
1691335848.6306474,8.7232,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,16.25,26.976999999999997,44.0,12677.75,11.0
1691335848.6406474,69.4168,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,12.75,26.976999999999997,76.0,22098.5,11.0
1691335848.650648,6.6427,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,19.0,26.976999999999997,122.67,27925.67,11.0
1691335848.660648,26.1172,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,19.0,26.976999999999997,122.67,27925.67,11.0
1691335848.670648,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,10.14,26.976999999999997,41.14,8267.29,11.0
1691335848.680648,92.3127,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,9.67,26.976999999999997,80.22,22932.56,11.0
1691335848.6906476,6.6467,-74.13,-16.88,1.0,8.0,0.0,0.0,-73.59,-10.5,16.13,9.67,26.976999999999997,80.22,22932.56,11.0
1691335848.7006476,26.1146,-74.13,-16.88,1.0,8.0,0.0,0.0,-72.63,-10.59,31.58,22.5,34.844,16.5,6659.0,11.0
1691335848.7106476,0.0,-74.13,-16.88,1.0,8.0,0.0,0.0,-72.63,-10.59,31.58,9.5,34.844,68.0,11459.75,11.0
1691335848.7206476,50.3472,-74.13,-16.88,1.0,8.0,0.0,0.0,-72.63,-10.59,31.58,16.75,34.844,85.5,23823.0,11.0
1691335848.7306476,53.2267,-74.13,-16.88,1.0,8.0,0.0,0.0,-72.63,-10.59,31.58,0.0,34.844,69.33,23478.33,11.0
1691335848.7406476,20.9815,-74.13,-16.88,1.0,8.0,0.0,0.0,-72.63,-10.59,31.58,20.5,34.844,56.0,22160.5,11.0
