TIME_STAMP,Throughput,4G_RSRP,4G_RSRQ,4G_MCS,4G_RB,4G_BLER,4G_MAC_Total_Throughput,5G_RSRP,5G_RSRQ,5G_BLER,5G_MCS,5G_MAC_Total_Throughput,5G_TBS,5G_RB,4G_TBS
1691260996.9265182,0.5102,-65.5,-8.97,12.43,2.43,0.0,7.356,,,,,,,,73.0
1691260996.9365182,7.6869,-66.31,-11.03,12.43,2.43,0.0,7.356,,,,,,,,453.0
1691260996.9465182,2.0443,-68.0,-12.25,12.43,2.43,0.0,7.356,,,,,,,,453.0
1691260996.9565182,0.0,-68.0,-12.25,12.43,2.43,0.0,7.356,,,,,,,,453.0
1691260996.9665182,0.0,-68.0,-12.25,12.43,2.43,0.0,7.356,,,,,,,,453.0
1691260996.9765182,0.0,-68.03,-15.22,12.43,2.43,0.0,7.356,,,,,,,,75.0
1691260996.986518,0.0,-68.03,-15.22,12.43,2.43,0.0,7.356,,,,,,,,75.0
1691260996.996518,0.0,-66.72,-13.75,12.43,2.43,0.0,7.356,,,,,,,,75.0
1691260997.006518,7.6992,-66.97,-10.5,12.43,2.43,0.0,7.356,,,,,,,,75.0
1691260997.0165179,9.7504,-66.97,-10.5,12.43,2.43,0.0,7.356,,,,,,,,69.0
1691260997.0265179,2.5541,-67.31,-13.38,12.43,2.43,0.0,7.356,,,,,,,,69.0
1691260997.0365179,2.0478,-67.31,-13.38,12.43,2.43,0.0,7.356,,,,,,,,69.0
1691260997.046518,0.0,-66.66,-10.91,14.29,2.92,0.0,7.356,,,,,,,,69.0
1691260997.0565186,2.0517,-66.66,-10.91,14.29,2.92,0.0,7.356,,,,,,,,69.0
1691260997.0665185,4.6135,-65.0,-15.0,14.29,2.92,0.0,7.356,,,,,,,,69.0
1691260997.0765185,4.0944,-63.88,-11.19,14.29,2.92,0.0,7.356,,,,,,,,69.0
1691260997.0865185,2.5597,-64.19,-11.88,18.42,22.15,0.0,7.356,,,,,,,,453.0
1691260997.0965185,5.1195,-64.88,-12.38,16.0,8.5,0.0,7.356,,,,,,,,903.0
1691260997.1065185,6.6527,-66.59,-9.13,16.0,8.5,0.0,7.356,,,,,,,,573.0
1691260997.1165185,4.6098,-66.59,-9.13,16.0,8.5,0.0,7.356,,,,,,,,573.0
1691260997.1265182,7.6815,-68.25,-10.0,16.0,8.5,0.0,7.356,,,,,,,,85.0
1691260997.1365182,5.6331,-68.75,-10.94,16.0,8.5,0.0,7.356,,,,,,,,85.0
1691260997.1465182,11.7666,-68.25,-11.94,15.67,23.79,0.0,7.356,,,,,,,,453.0
1691260997.1565182,10.2503,-67.88,-12.56,15.67,23.79,0.0,7.356,,,,,,,,1908.0
1691260997.1665182,10.707,-67.13,-14.63,15.67,23.79,0.0,7.356,,,,,,,,1572.0
1691260997.1765182,6.6847,-67.75,-13.03,19.0,23.35,10.53,7.356,,,,,,,,79.0
1691260997.1865182,9.7241,-67.75,-13.03,19.0,23.35,10.53,7.356,,,,,,,,79.0
1691260997.1965182,6.6613,-67.44,-15.0,19.0,23.35,10.53,7.356,,,,,,,,93.0
1691260997.2065182,5.6275,-66.5,-15.25,18.17,16.71,11.11,7.356,,,,,,,,453.0
1691260997.2165182,6.6607,-65.5,-11.13,18.17,16.71,11.11,7.356,,,,,,,,1335.0
1691260997.2265182,8.6979,-64.94,-10.94,18.17,16.71,15.0,7.356,,,,,,,,775.0
1691260997.236518,3.5862,-64.38,-14.0,15.71,21.61,15.0,7.356,,,,,,,,775.0
1691260997.246518,7.6754,-63.94,-14.69,15.71,21.61,22.22,7.356,,,,,,,,1620.0
1691260997.256518,6.6627,-63.13,-16.75,14.78,27.11,22.22,7.356,,,,,,,,1980.0
1691260997.2665179,8.7075,-62.31,-15.94,14.78,27.11,0.0,7.356,,,,,,,,1479.0
1691260997.2765179,6.6567,-61.63,-13.13,19.24,24.94,0.0,7.356,,,,,,,,453.0
1691260997.2865179,11.7689,-61.5,-12.44,19.24,24.94,0.0,7.356,,,,,,,,1479.0
1691260997.296518,11.2651,-62.28,-9.75,19.15,29.35,0.0,7.356,,,,,,,,1572.0
1691260997.3065186,5.6269,-62.28,-9.75,19.15,29.35,0.0,7.356,,,,,,,,1908.0
1691260997.3165185,8.6918,-64.13,-6.94,19.15,29.35,0.0,7.356,,,,,,,,97.0
1691260997.3265185,4.0985,-65.88,-10.31,19.35,24.2,0.0,7.356,,,,,,,,775.0
1691260997.3365185,12.2855,-67.44,-11.56,19.35,24.2,5.0,7.356,,,,,,,,1287.0
1691260997.3465185,4.6062,-68.69,-12.75,16.11,28.32,5.0,7.356,,,,,,,,1479.0
1691260997.3565185,5.119,-68.88,-16.06,16.11,28.32,0.0,7.356,,,,,,,,1692.0
1691260997.3665185,2.5595,-68.56,-15.38,18.88,24.71,0.0,7.356,,,,,,,,1692.0
1691260997.3765182,6.6627,-67.09,-15.5,18.88,24.71,0.0,7.356,,,,,,,,1431.0
1691260997.3865182,4.0935,-67.09,-15.5,18.88,24.71,0.0,7.356,,,,,,,,1908.0
1691260997.3965182,7.6892,-66.88,-12.81,19.93,23.6,0.0,7.356,,,,,,,,1572.0
1691260997.4065182,10.24,-67.0,-12.63,19.93,23.6,0.0,7.356,,,,,,,,1836.0
1691260997.4165182,14.3202,-67.38,-14.38,21.11,22.33,0.0,7.356,,,,,,,,1175.5714285714287
1691260997.4265182,12.8205,-67.0,-15.44,21.11,22.33,0.0,7.356,,,,,,,,1572.0
1691260997.4365182,11.264000000000001,-66.69,-15.88,19.55,28.8,0.0,7.356,,,,,,,,249.0
1691260997.4465182,3.0711,-66.38,-12.38,19.55,28.8,0.0,7.356,,,,,,,,1431.0
1691260997.4565182,13.3173,-66.19,-12.81,19.55,28.8,0.0,7.356,,,,,,,,1908.0
1691260997.4665182,8.7075,-66.44,-14.5,24.88,24.35,0.0,7.356,,,,,,,,2577.0
