TIME_STAMP,Throughput,4G_RSRP,4G_RSRQ,4G_MCS,4G_RB,4G_BLER,4G_MAC_Total_Throughput,5G_RSRP,5G_RSRQ,5G_BLER,5G_MCS,5G_MAC_Total_Throughput,5G_RB,5G_TBS,4G_TBS
1691338886.8251958,0.0,-75.69,-11.19,4.7,1.6,0.0,10.52,,,,,,,,75.0
1691338886.8351958,0.0,-75.69,-11.19,4.7,1.6,0.0,10.52,,,,,,,,75.0
1691338886.8451958,0.0,-75.5,-9.94,4.7,1.6,0.0,10.52,,,,,,,,9.0
1691338886.8551958,0.0,-75.5,-9.94,4.7,1.6,0.0,10.52,,,,,,,,9.0
1691338886.8651958,0.0,-75.22,-9.22,4.7,1.6,0.0,10.52,,,,,,,,9.0
1691338886.8751955,10.0748,-75.22,-9.22,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338886.8851955,0.0,-75.25,-12.75,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338886.8951955,0.0,-75.25,-12.75,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338886.9051955,0.0,-75.25,-12.78,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338886.9151955,0.0,-75.25,-12.78,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338886.9251955,8.697000000000001,-75.25,-12.78,4.7,1.6,0.0,10.52,,,,,,,,49.0
1691338886.9351954,13.2947,-74.41,-11.22,4.7,1.6,0.0,10.52,,,,,,,,49.0
1691338886.9451954,0.0,-74.69,-8.22,4.7,1.6,0.0,10.52,,,,,,,,49.0
1691338886.9551961,0.0,-74.88,-12.19,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338886.9651961,0.0,-74.88,-12.19,4.7,1.6,0.0,10.52,,,,,,,,453.0
1691338886.9751961,0.0,-75.0,-9.78,4.7,1.6,0.0,10.52,,,,,,,,453.0
1691338886.985196,0.0,-74.88,-12.0,4.7,1.6,0.0,10.52,,,,,,,,453.0
1691338886.995196,9.7848,-74.88,-12.0,4.7,1.6,0.0,10.52,,,,,,,,2.0
1691338887.005196,34.1878,-74.78,-10.0,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338887.0151956,0.0,-74.63,-15.19,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338887.0251956,0.0,-74.63,-15.19,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338887.0351956,0.0,-74.63,-15.19,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338887.0451958,0.0,-74.63,-13.25,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338887.0551958,2.0307,-72.59,-12.06,4.7,1.6,0.0,10.52,,,,,,,,513.0
1691338887.0651958,41.3612,-72.59,-12.06,4.7,1.6,0.0,10.52,,,,,,,,513.0
1691338887.0751958,13.1594,-70.66,-10.78,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338887.0851958,0.0,-70.66,-10.78,4.7,1.6,0.0,10.52,,,,,,,,7.0
1691338887.0951958,2.0529,-70.44,-11.44,4.7,1.6,0.0,10.52,,,,,,,,209.0
